Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.08,2,0.7896830179799874593974524566,0.7928566833391,0.7928566833391,0.790646004945146,0.790646004945146,0.0495047690647923,0.0771449113028009455421232902,0.0670894243400555455421232902,0.0100554869627454,2.4424164546420187787149217942,2.8189098981982771594119046306,3.5792867366663477154641893887,199814200
16.09,2,0.7896728643707455589980602163,0.792846513199221,0.792846513199221,0.790635838953982,0.790635838953982,0.0495048277091633,0.0771446149786841427066317185,0.0670854890715056427066317185,0.0100591259071785,2.4422010904773131257648826386,2.819232330007629255789815738,3.5789685810952224217038297455,199938500
16.10,2,0.7896627222867447380722098109,0.792836354906861,0.792836354906861,0.790625684502114,0.790625684502114,0.0495048949784702,0.0771443276877216783453645144,0.0670815589116398783453645144,0.0100627687760818,2.4419860879202359672396753744,2.8195559745708823683175367482,3.578651688810995647700539323,200062800
16.11,2,0.7896525913123940092094498913,0.792826208019876,0.792826208019876,0.790615541173444,0.790615541173444,0.0495049701341271,0.0771440486763469039587457684,0.0670776331068914039587457684,0.0100664155694555,2.4417714249647658047897380921,2.8198799738117596124858543296,3.5783352892133152173771564563,200187000
16.12,2,0.7896424712763518774166746628,0.792816072393165,0.792816072393165,0.790605408796421,0.790605408796421,0.0495050539365354,0.0771437786994340687219455419,0.0670737124121346687219455419,0.0100700662872994,2.4415571228185325456913225592,2.8202043158682273907728684708,3.5780193639677934438611668175,200311300
16.13,2,0.7896322623477210431410061639,0.792805848108678,0.792805848108678,0.790595187418409,0.790595187418409,0.0495051491208172,0.0771435170033495034921113433,0.0670697960737358034921113433,0.0100737209296137,2.4413431594735846648249828209,2.8205298817439593878205707147,3.5777047164159909208553452113,200435500
16.14,2,0.7896221633568458416315922432,0.79279573413114,0.79279573413114,0.790585076112217,0.790585076112217,0.0495052491169638,0.0771432639658554131635495475,0.0670658844694570131635495475,0.0100773794963984,2.4411295453340877990497615262,2.8208549265569329427590521736,3.5773897628480010755758406709,200559800
16.15,2,0.7896120764711517873370597049,0.792785632568364,0.792785632568364,0.790574976925968,0.790574976925968,0.0495053573440801,0.0771430195875858503864348941,0.0670619775999325503864348941,0.0100810419876533,2.4409162800002789908505150045,2.8211811889506937414299940979,3.5770760763312081668102817906,200684000
16.16,2,0.7896021005226652172025549957,0.792775642312641,0.792775642312641,0.79056498881221,0.79056498881221,0.0495054703494053,0.0771427838691745696792413248,0.0670580754657959696792413248,0.0100847084033786,2.4407033630723795798991927399,2.8215069300966945273012754839,3.5767620817238701710704470342,200808300
16.17,2,0.7895920350945421952315635512,0.792765562824986,0.792765562824986,0.790554911109698,0.790554911109698,0.0495055951365489,0.0771425568112550255604427814,0.0670541780676808255604427814,0.0100883787435742,2.440490794150618067846232823,2.8218338884464378171852350468,3.5764493521831210655776361426,200932600
16.18,2,0.7895820807682666369664941674,0.79275559480917,0.79275559480917,0.790544944644519,0.790544944644519,0.0495057246974133,0.0771423384144593762851116103,0.0670502854062192762851116103,0.0100920530082401,2.4402785728351671999893984215,2.8221611945387938480089807955,3.5761370996172446429715788348,201056800
16.19,2,0.7895720373783810184539281169,0.792745537964579,0.792745537964579,0.790534889007119,0.790534889007119,0.049505865649795,0.0771421283021620753678401442,0.0670463971047856753678401442,0.0100957311973764,2.4400666879185668836049413016,2.8224888541150874448456123411,3.5758253316731099664253046141,201181100
16.20,2,0.7895621045067889138056740571,0.79273559204746,0.79273559204746,0.790524944022786,0.790524944022786,0.0495060125286454,0.0771419279840360738694319521,0.0670425146730531738694319521,0.0100994133109829,2.4398551822318484851346949914,2.8228177125810822134323808651,3.5755147998624780483427395546,201305400
16.21,2,0.7895519827337286206906512361,0.792725457363397,0.792725457363397,0.790514809906627,0.790514809906627,0.0495061731576679,0.0771417348198347458354643265,0.0670386354707749458354643265,0.0101030993490598,2.4396439797195718850850272196,2.823146072777320984921679775,3.5752039894641091755604826012,201429600
16.22,2,0.7895420708962467849387944829,0.7927155330584,0.7927155330584,0.790504885982054,0.790504885982054,0.049506335486487,0.0771415506965180195328039560,0.0670347613849109195328039560,0.0101067893116071,2.4394331340212384498977715127,2.8234756432534454121009704931,3.5748944305339649755819006112,201553900
16.23,2,0.7895320711550968080754103172,0.792705521098532,0.792705521098532,0.790494874046619,0.790494874046619,0.0495065095458032,0.0771413752374415479859720334,0.0670308920388169479859720334,0.0101104831986246,2.4392226339288552220577841981,2.8238046917364248412695173064,3.5745845562701189039356401273,201678100
16.24,2,0.7895221813489888101773780769,0.792695619429946,0.792695619429946,0.790484972180286,0.790484972180286,0.0495066880462455,0.0771412080658960089054651636,0.0670270270557836089054651636,0.0101141810101124,2.4390124682325578116542238854,2.8241349618983892667467384175,3.5742759488064817270661233804,201802400
